"Gene" "Idx"
"1" "CCR7" "56780"
"2" "DOCK2" "11626"
"3" "MYH9" "63005"
"4" "CCL19" "24505"
"5" "CCL21" "18921"
"6" "SNX27" "52731"
"7" "DLG1" "24501"
"8" "CAMK4" "49387"
"9" "CD2" "49022"
"10" "CD86" "25949"
"11" "CD37" "30461"
"12" "CSF2" "59192"
"13" "HMGB1" "3920"
"14" "IL10" "12044"
"15" "IRF4" "52713"
"16" "RELB" "10711"
"17" "SPI1" "62740"
"18" "TGFB1" "40225"
"19" "TGFBR2" "38315"
"20" "TRAF6" "30836"
"21" "TNFSF9" "33152"
"22" "TSPAN32" "22401"
"23" "DHRS2" "31123"
"24" "UBD" "25170"
"25" "BATF" "41568"
"26" "PYCARD" "19757"
"27" "GIMAP5" "40378"
"28" "BATF3" "23334"
"29" "DCSTAMP" "24622"
"30" "BATF2" "23333"
"31" "AIF1" "3645"
"32" "AZU1" "28429"
"33" "CX3CR1" "36338"
"34" "JUN" "24960"
"35" "SNCA" "55611"
"36" "TLR2" "55093"
"37" "TLR3" "55094"
"38" "TLR6" "55096"
"39" "TLR7" "55097"
"40" "TLR8" "55100"
"41" "NOD2" "44137"
"42" "AKT1" "44394"
"43" "ANXA1" "27910"
"44" "FAS" "55887"
"45" "BAK1" "57121"
"46" "BAX" "50577"
"47" "BCL2" "2614"
"48" "CASP3" "44383"
"49" "MECOM" "18259"
"50" "FLT3" "31220"
"51" "NCKAP1L" "38982"
"52" "HIF1A" "52783"
"53" "IFNG" "27240"
"54" "IKBKB" "46631"
"55" "IL2RA" "34758"
"56" "IL6" "54959"
"57" "JAK3" "15149"
"58" "LYN" "5462"
"59" "MEF2C" "42103"
"60" "MEN1" "16117"
"61" "P2RX7" "55009"
"62" "PDE4B" "64147"
"63" "PIK3CD" "53318"
"64" "PMAIP1" "8196"
"65" "PPP3CB" "1267"
"66" "RAG1" "63854"
"67" "SKIL" "4233"
"68" "SPTA1" "2978"
"69" "STAT5A" "12301"
"70" "STAT5B" "12300"
"71" "TNFAIP3" "39655"
"72" "FOXN1" "945"
"73" "IKBKG" "17517"
"74" "TNFSF14" "40812"
"75" "FADD" "11680"
"76" "DNAJA3" "34174"
"77" "CCNB2" "44153"
"78" "CHST3" "93"
"79" "BCL2L11" "4648"
"80" "SIVA1" "59386"
"81" "TNFSF13B" "52508"
"82" "RIPK3" "2783"
"83" "CORO1A" "40484"
"84" "TNFRSF13B" "48344"
"85" "SLC40A1" "20671"
"86" "FOXP3" "26605"
"87" "PPP2R3C" "27741"
"88" "SLC46A2" "46716"
"89" "JAM3" "29415"
"90" "ZC3H8" "25440"
"91" "TNFRSF13C" "48345"
"92" "SPNS2" "38110"
"93" "NKX2-3" "52157"
"94" "HCAR2" "22383"
"95" "IL2" "54963"
"96" "AXL" "20254"
"97" "FLT3LG" "54947"
"98" "GAS6" "53638"
"99" "ID2" "57015"
"100" "IL15" "12047"
"101" "IL15RA" "52129"
"102" "SP3" "33730"
"103" "TCF3" "30307"
"104" "TYRO3" "23578"
"105" "PGLYRP1" "57249"
"106" "IKZF1" "33601"
"107" "MERTK" "47789"
"108" "TUSC2" "35802"
"109" "ZBTB1" "47847"
"110" "PGLYRP4" "57252"
"111" "IL21" "2354"
"112" "PGLYRP2" "57248"
"113" "PGLYRP3" "57247"
"114" "ZNF683" "58954"
"115" "CXCR2" "16281"
"116" "ELF4" "49311"
"117" "IL12B" "22477"
"118" "IL18" "12040"
"119" "PTPN22" "8402"
"120" "IL23A" "31478"
"121" "IL23R" "31483"
"122" "C3" "57671"
"123" "FCER1G" "841"
"124" "GATA3" "59897"
"125" "SPN" "33718"
"126" "ZP3" "20477"
"127" "IL20RB" "14899"
"128" "FCER1A" "5015"
"129" "ITK" "52795"
"130" "TXK" "29042"
"131" "AP3B1" "57698"
"132" "AP3D1" "41845"
"133" "A2M" "55832"
"134" "SERPING1" "60400"
"135" "FCN1" "22145"
"136" "FCN2" "22144"
"137" "KRT1" "19477"
"138" "MBL2" "50315"
"139" "MASP1" "61266"
"140" "FCN3" "22143"
"141" "MASP2" "61267"
"142" "C6" "57674"
"143" "CD59" "14143"
"144" "ARRB2" "26901"
"145" "AZGP1" "61088"
"146" "B2M" "26323"
"147" "CEBPG" "17418"
"148" "CTSC" "5208"
"149" "LYST" "48896"
"150" "CTSG" "5213"
"151" "CTSH" "5202"
"152" "ELANE" "22511"
"153" "F2RL1" "14595"
"154" "HFE" "2722"
"155" "HLA-A" "2743"
"156" "HLA-B" "11617"
"157" "HLA-C" "24198"
"158" "HLA-E" "24204"
"159" "HLA-F" "24203"
"160" "HLA-G" "2750"
"161" "HLA-H" "24193"
"162" "MR1" "18142"
"163" "ICAM1" "29695"
"164" "IL7R" "58024"
"165" "IL12A" "22478"
"166" "IL12RB1" "51905"
"167" "LAG3" "20481"
"168" "SH2D1A" "4357"
"169" "MICB" "31116"
"170" "NOS2" "25536"
"171" "PRDX1" "30388"
"172" "PTPN6" "26857"
"173" "PTPRC" "52361"
"174" "PVR" "11781"
"175" "PVRL2" "45389"
"176" "RAB27A" "4041"
"177" "XCL1" "41535"
"178" "STXBP2" "54636"
"179" "TAP1" "5659"
"180" "TAP2" "5667"
"181" "STX11" "62301"
"182" "NCR1" "4896"
"183" "TUBB4B" "42830"
"184" "CD226" "30034"
"185" "LILRB1" "41799"
"186" "ABCB9" "8169"
"187" "CADM1" "63021"
"188" "CRTAM" "149"
"189" "SLAMF7" "55647"
"190" "ULBP3" "54051"
"191" "ULBP2" "54050"
"192" "ULBP1" "54053"
"193" "RNF19B" "20050"
"194" "RAET1E" "50864"
"195" "RAET1L" "50872"
"196" "UNC13D" "44516"
"197" "TUBB" "17329"
"198" "NCR3" "33087"
"199" "RAET1G" "50866"
"200" "CLEC2A" "30064"
"201" "NCF1" "44479"
"202" "KLRF2" "55831"
"203" "MICA" "31117"
"204" "KLRC4-KLRK1" "27660"
"205" "MALT1" "32093"
"206" "BCL6" "2611"
"207" "CD28" "4499"
"208" "CD40" "53501"
"209" "CD40LG" "45642"
"210" "ERCC1" "4382"
"211" "XRCC6" "17428"
"212" "MSH6" "58371"
"213" "HMGB2" "27378"
"214" "HSPD1" "5126"
"215" "IL4" "54961"
"216" "LIG4" "22310"
"217" "MLH1" "50339"
"218" "MSH2" "26928"
"219" "MSH3" "58348"
"220" "NBN" "11321"
"221" "PMS2P1" "18238"
"222" "PMS2P5" "35754"
"223" "PMS2" "27987"
"224" "PRKDC" "15188"
"225" "RAG2" "63853"
"226" "STAT6" "62439"
"227" "SUPT6H" "47736"
"228" "TCF7" "30306"
"229" "TNFSF4" "33155"
"230" "UNG" "52785"
"231" "XRCC4" "2423"
"232" "TNFSF13" "40805"
"233" "RNF8" "35430"
"234" "EXO1" "46708"
"235" "IL27RA" "55241"
"236" "VPRBP" "2040"
"237" "THOC1" "57334"
"238" "PAXIP1" "2037"
"239" "SWAP70" "17976"
"240" "CLCF1" "32074"
"241" "FOXP1" "26606"
"242" "POLL" "29207"
"243" "POLM" "29206"
"244" "TBX21" "50867"
"245" "EXOSC3" "23759"
"246" "LEF1" "55398"
"247" "CTNNBL1" "56935"
"248" "AICDA" "7960"
"249" "BCL11B" "63450"
"250" "NDFIP1" "26676"
"251" "EXOSC6" "23761"
"252" "RNF168" "43722"
"253" "NUGGC" "50531"
"254" "ADAM8" "14890"
"255" "BIRC2" "35739"
"256" "BIRC3" "39475"
"257" "XIAP" "25462"
"258" "ATF1" "31786"
"259" "BTK" "45877"
"260" "C1QBP" "8094"
"261" "CASP8" "44386"
"262" "CD14" "46485"
"263" "CD36" "30460"
"264" "CDK1" "500"
"265" "CHUK" "61782"
"266" "CREB1" "33941"
"267" "ATF2" "38802"
"268" "MAPK14" "23349"
"269" "CTSB" "5207"
"270" "CTSK" "5203"
"271" "CTSS" "5216"
"272" "CYLD" "40120"
"273" "DMBT1" "22809"
"274" "DUSP3" "62510"
"275" "DUSP4" "62506"
"276" "DUSP6" "62508"
"277" "DUSP7" "62507"
"278" "ELK1" "38210"
"279" "FOS" "11983"
"280" "LRRC32" "26707"
"281" "GFI1" "39759"
"282" "HCK" "12506"
"283" "IFI16" "23804"
"284" "IRAK1" "44630"
"285" "IRAK2" "44628"
"286" "IRF1" "52708"
"287" "IRF3" "52706"
"288" "IRF7" "52710"
"289" "ITGAM" "106"
"290" "ITGB2" "7930"
"291" "LBP" "45187"
"292" "LTF" "59068"
"293" "MEF2A" "42108"
"294" "MAP3K1" "31329"
"295" "MOG" "4353"
"296" "MYD88" "39624"
"297" "NFKB1" "11325"
"298" "NFKB2" "11326"
"299" "NFKBIA" "5497"
"300" "NFKBIB" "5495"
"301" "NFKBIL1" "39220"
"302" "PDPK1" "58922"
"303" "PIK3C3" "53337"
"304" "PPP2R5D" "51994"
"305" "PRKCE" "54712"
"306" "MAPK1" "12255"
"307" "MAPK3" "12253"
"308" "MAPK7" "12257"
"309" "MAPK8" "12259"
"310" "MAPK11" "23352"
"311" "MAPK9" "12260"
"312" "MAPK10" "23351"
"313" "MAP2K1" "33450"
"314" "MAP2K2" "33449"
"315" "MAP2K3" "33448"
"316" "MAP2K6" "33452"
"317" "MAP2K7" "33451"
"318" "LGMN" "3418"
"319" "RELA" "10712"
"320" "RPS6KA1" "37987"
"321" "RPS6KA2" "37988"
"322" "RPS6KA3" "37989"
"323" "RPS27A" "59923"
"324" "MAP2K4" "33454"
"325" "MAP3K7" "31331"
"326" "TLR1" "55095"
"327" "TLR4" "55098"
"328" "TLR5" "55099"
"329" "HSP90B1" "34680"
"330" "TRAF3" "30833"
"331" "UBA52" "4964"
"332" "UBB" "25176"
"333" "UBC" "25177"
"334" "UBE2D1" "19826"
"335" "UBE2D2" "19824"
"336" "UBE2D3" "19825"
"337" "UBE2N" "39375"
"338" "UBE2V1" "40916"
"339" "MAPKAPK3" "10285"
"340" "MARCO" "1345"
"341" "RIPK1" "2782"
"342" "RIPK2" "2784"
"343" "BCL10" "48574"
"344" "RPS6KA5" "37991"
"345" "MAPKAPK2" "10286"
"346" "AIM2" "59313"
"347" "NR1D1" "367"
"348" "IKBKE" "46636"
"349" "TRIL" "42140"
"350" "NR1H3" "30960"
"351" "TNIP1" "40328"
"352" "NOD1" "44136"
"353" "TAB1" "54272"
"354" "CNPY3" "18144"
"355" "IRAK3" "44629"
"356" "SARM1" "13607"
"357" "TAB2" "54271"
"358" "RFTN1" "37677"
"359" "DDX58" "28457"
"360" "LY96" "7995"
"361" "SIN3A" "54249"
"362" "LSM14A" "51401"
"363" "TBK1" "20606"
"364" "PIK3R4" "26136"
"365" "IRAK4" "44632"
"366" "TLR9" "55101"
"367" "LGR4" "35663"
"368" "DDX60" "2449"
"369" "ZC3HAV1" "63135"
"370" "PELI2" "60891"
"371" "PELI1" "60889"
"372" "S100A14" "16783"
"373" "MAVS" "26603"
"374" "NLRC4" "17630"
"375" "CACTIN" "16048"
"376" "IFIH1" "22663"
"377" "CARD9" "23991"
"378" "CLEC7A" "20313"
"379" "DHX58" "46073"
"380" "TNIP2" "40326"
"381" "NLRX1" "51175"
"382" "TNIP3" "40327"
"383" "COLEC12" "47459"
"384" "UNC93B1" "20090"
"385" "TLR10" "1311"
"386" "ITCH" "1221"
"387" "TRIM5" "4129"
"388" "TRIM15" "45759"
"389" "RSAD2" "18638"
"390" "BPIFB1" "15077"
"391" "TIRAP" "44972"
"392" "MB21D1" "33353"
