celltype	name	RefSeq	Hallmark	Single ILC	Pos/Neg	comments	reference	Jennys comment
ILC1	Ccl3	CCL3	Y	Y	Pos		Bernink 2013	Not sure in humans
ILC1	Cxcr3	CXCR3	Y	Y	Pos		Bernink 2013	Also NK
ILC1	IFN-g	IFNG	Y	Y	Pos	0	Bernink 2013	Also in ILC1
ILC1	IL12RB	IL12RB1	Y	Y	Pos		Bernink 2013	
ILC1	T-bet	TBX21	Y	Y	Pos	0	Bernink 2013	Also in ILC1
ILC2	CD294	PTGDR2	Y	Y	Pos	also called CRTH2	Spits & Cupedo (2012)	0
ILC2	IL-17RB	IL17RB	Y	Y	Pos	receptor for IL-25	Xu & Di Santo (2013)	0
ILC2	IL33R	IL1RL1	Y	Y	Pos	Receptor for IL-33	Spits & Cupedo (2012)	0
ILC2	IL-13	IL13	Y	Y	Pos	0	0	0
ILC2	Gata3	GATA3	Y	Y	Pos	Higher in ILC2 but expressed by all ILC subsets	Spits & Cupedo (2012)	0
ILC3	NKp44	NCR2	Y	Y	Pos	0	0	0
ILC3	IL22	IL22	Y	Y	Neg	0	0	0
ILC3	Rorc / RORgamma-t	RORC	Y	Y	Pos	"Highest in ILC3, intermediate in ILC2 and ILC1"	Spits & Cupedo (2012)	0
ILC3	AhR	AHR	Y	Y	Pos	0	Spits & Cupedo (2012)	higher in ILC3
ILC3	IL-23R	IL23R	Y	Y	Pos	0	0	0
ILC3	IL-1bR	IL1R1	Y	Y	Pos			
NK	Eomes	EOMES	Y	Y	Pos	0	Spits & Cupedo (2012)	specific for NK
NK	granzymes	GZMA	Y	Y	Pos	"GZMM, GZMK, more? (mostly bone marrow and spleen)"	Bj̦rkstr̦m & Mj̦sberg (2013)	0
NK	granzymes	GNLY	Y	Y	Pos	"GZMM, GZMK, more? (mostly bone marrow and spleen)"	Bj̦rkstr̦m & Mj̦sberg (2013)	0
NK	NKG2A	KLRC1	Y	Y	Pos		Bj̦rkstr̦m & Mj̦sberg (2013)	0
