"NKp44" "CD117" "CD127" "NKG2A" "CD16" "CRTH2" "CD45" "CD161" "CD56" "NCR2" "KIT" "IL7R" "KLRC1" "FCGR3A.B" "PTGDR2" "PTPRC" "KLRB1" "NCAM1" "All.Events.FSC.A.Mean" "All.Events.SSC.A.Mean"
"T75_P1_A1_ILC3" 959 178 575 -20 -42 1 3839 1493 90 3.24734769898068 8.59861422260108 10.9254254629871 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.6479903630623 8.74527855910659 -3.32192809488736 62101 14650
"T75_P2_A1_ILC3" 139 560 699 -19 -52 -5 3281 3440 592 -3.32192809488736 0.49994039280312 10.7476698751915 9.45128836293221 -3.32192809488736 -3.32192809488736 10.1006303579383 11.2123293430582 -0.436682953501494 54837 17388
"T75_P4_A1_ILC1" -31 52 497 -27 -4 -85 4750 3648 104 -3.32192809488736 9.48285491524241 11.4090710939787 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.0537791454689 10.5088060387207 0.21061617005014 50063 13259
"T75_P1_A10_ILC3" 2587 488 666 11 108 -5 3279 3574 121 9.10172653753038 9.16702446052532 11.0915548358204 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.0523874366507 8.52691516315678 -3.32192809488736 79946 16947
"T75_P4_A10_ILC1" -1 1 408 1 -43 -166 8433 98 147 -3.32192809488736 -3.32192809488736 11.6704148690468 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.47951376861981 -3.32192809488736 -3.32192809488736 62409 9439
"T75_P1_A11_ILC3" 370 416 988 -56 79 67 5293 2218 89 -3.32192809488736 -3.32192809488736 11.5755736749133 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.0404143934263 2.06380998053376 -3.32192809488736 66852 12033
"T75_P4_A11_ILC1" 8 -7 684 -17 19 -94 11150 -69 39 -3.32192809488736 -1.07427619711937 10.4473053326824 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.0713437213122 -3.32192809488736 -0.76501073202222 74306 16521
"T75_P1_A12_ILC3" 630 157 602 -31 22 -36 4609 2894 75 -3.32192809488736 9.12912589610683 2.69355466506406 10.9889782584765 -3.32192809488736 -3.32192809488736 11.0246937265484 4.01833315647922 0.262531598670667 56199 17822
"T75_P3_A12_ILC2" -10 101 420 -40 -3 806 5069 4470 108 -3.32192809488736 0.360593129600265 9.38372546360927 -3.32192809488736 -3.32192809488736 7.96187356582491 10.5803813738225 11.3096341405053 -3.32192809488736 67060 18004
"T75_P1_A3_ILC3" -35 420 553 20 2 -16 3750 1543 143 0.740053887346693 -0.173054592296007 10.9838268939073 9.86584002989574 -3.32192809488736 -3.32192809488736 10.8375929316013 9.90999348204498 -1.49396032135228 60935 18725
"T75_P2_A3_ILC3" 1287 288 861 -59 -112 -23 5150 2531 120 1.3429756562369 -0.125308334723944 10.35599272353 1.98144456639822 -3.32192809488736 -3.32192809488736 9.29968489997687 8.86512812929242 -3.32192809488736 55406 8436
"T75_P3_A3_ILC2" -83 125 685 -49 -45 460 2812 5760 23 -3.32192809488736 -3.32192809488736 9.01641427018556 -3.32192809488736 -3.32192809488736 1.19501538986264 9.72611649439434 12.2835481933667 -3.32192809488736 59380 9233
"T75_P1_A5_ILC3" 1381 233 567 -10 59 9 5288 3318 60 9.48027144751018 7.42573070367173 8.87024664094245 1.59550200716468 -3.32192809488736 -3.32192809488736 10.0604405937848 9.7326865579233 -3.32192809488736 63760 13017
"T75_P2_A5_ILC3" -15 497 619 25 26 14 2409 3643 3337 -3.32192809488736 8.29801023618489 10.8900185950939 1.89126327801551 -3.32192809488736 -3.32192809488736 0.593857944125148 9.88459046088916 5.39489845708527 60788 17650
"T75_P3_A5_ILC2" -14 73 768 -73 -69 505 3752 4428 132 -3.32192809488736 -3.32192809488736 9.70471468409548 0.910420555596526 -3.32192809488736 -0.522579136923647 9.30235428429585 12.2364590884686 -3.32192809488736 56392 9643
"T75_P4_A5_ILC1" 2 -17 384 10 -26 -51 7426 196 -17 -3.32192809488736 -3.32192809488736 9.60003394366727 -3.32192809488736 -3.32192809488736 -3.32192809488736 5.97455710832182 1.42680267546502 -3.32192809488736 50431 6213
"T75_P1_A7_ILC3" 1158 248 470 -13 6 120 3055 914 554 10.3136107508322 8.57825556236137 9.88452099484499 3.23253902816075 -3.32192809488736 -3.32192809488736 2.865877390969 9.12356122876305 0.00496945710010797 72513 14918
"T75_P2_A7_ILC3" 1928 165 620 -25 -78 41 2803 2761 288 10.7312436229574 8.36557820378695 9.52611415501004 10.5494505692444 -3.32192809488736 -3.32192809488736 8.95449554312287 11.2987396786612 -3.32192809488736 68168 15047
"T75_P3_A7_ILC2" -67 21 647 -61 -101 508 6601 7323 276 -3.32192809488736 -3.32192809488736 10.7857819247812 -3.32192809488736 -3.32192809488736 0.811965978012237 6.24204550818049 10.7798056878547 -3.32192809488736 58949 11439
"T75_P1_A8_ILC3" 154 235 867 -20 -69 68 6704 3716 224 -3.32192809488736 -3.32192809488736 9.58404224020759 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.2786778407973 2.15047097023762 -0.529883312922525 73689 13441
"T75_P2_A8_ILC3" 80 429 1076 -25 -19 61 3683 2028 175 -3.32192809488736 -3.32192809488736 11.651837452213 -3.32192809488736 -3.32192809488736 -3.32192809488736 0.734809033438737 7.98626687498264 -3.32192809488736 76097 15362
"T75_P3_A8_ILC2" -14 30 928 -16 16 528 4517 4940 20 -3.32192809488736 -3.32192809488736 10.4471549517414 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.36529794664724 10.0805031715156 -3.32192809488736 59796 8525
"T75_P4_A8_ILC1" 6 22 579 -26 -39 -91 8764 445 31 -3.32192809488736 -0.875152657863366 9.6046433801846 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.2764585819806 8.6130533509974 -3.32192809488736 65837 11929
"T75_P2_A9_ILC3" 1975 137 391 -30 63 7 4227 346 144 -3.32192809488736 7.65580710628107 10.2702876696544 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.901683736053 -3.32192809488736 -3.32192809488736 71441 16099
"T75_P4_A9_ILC1" -13 -19 573 -34 25 -59 9703 492 -52 -3.32192809488736 -3.32192809488736 8.90563822773581 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.65335408644544 -3.32192809488736 0.128864838623951 69100 13366
"T75_P1_B1_ILC3" 1204 285 1369 -93 -202 52 4366 5876 340 -3.32192809488736 8.34290207840525 11.3251970321403 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.29596258736916 11.6817244341344 -2.07306268238786 57837 24646
"T75_P2_B1_ILC3" 97 592 502 -39 -21 89 2258 2521 222 6.16775213148119 9.85356395373413 2.52629634883003 8.85827546911468 -3.32192809488736 -3.32192809488736 2.11682453625161 8.68164169855348 -3.32192809488736 61702 11983
"T75_P3_B1_ILC2" -52 54 410 -72 -21 1272 5315 9365 54 -3.32192809488736 -3.32192809488736 10.7461732313658 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.62491338931647 12.3166781926054 -3.32192809488736 52807 8746
"T75_P4_B1_ILC1" -3 27 463 -41 -23 61 5090 4457 -38 -3.32192809488736 -3.32192809488736 9.4544488040616 -3.32192809488736 -3.32192809488736 -3.32192809488736 5.36675307449866 11.7737990288252 -3.32192809488736 59280 9887
"T75_P4_B10_ILC1" -10 -12 427 -6 -14 19 6161 318 6 -3.32192809488736 0.6622370217902 6.35415440384449 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.93375085014405 2.84243613233358 -3.32192809488736 68578 10759
"T75_P1_B12_ILC3" -46 469 499 -51 42 20 3969 2291 2467 -3.32192809488736 -3.32192809488736 10.4242252085719 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.748940834979 12.2979040157056 -3.32192809488736 66282 11612
"T75_P2_B12_ILC3" -4 248 504 -6 11 -35 3855 2267 57 -3.32192809488736 -3.32192809488736 10.6248450072805 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4092994799941 10.7787610013461 -3.32192809488736 62307 12992
"T75_P4_B12_ILC1" 5 46 650 -18 18 -17 4376 443 -36 -3.32192809488736 -3.32192809488736 10.9276114891696 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.1314273886932 10.9546582213659 -1.90147701124071 50299 8607
"T75_P1_B3_ILC3" 1511 60 546 -3 65 4 7547 3922 144 10.4064229552661 7.80240368287773 10.0994915894857 6.56556045205825 -3.32192809488736 -3.32192809488736 10.358040547823 9.48822670168771 -1.30931020702255 77575 20649
"T75_P2_B3_ILC3" 1499 222 517 -20 94 53 8536 1675 118 9.67324129585083 0.577602689920648 9.72853119855905 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.8133373187764 9.01183204743671 -0.763988584762979 69264 20115
"T75_P3_B3_ILC2" -58 107 647 -48 -63 660 6984 4378 107 -3.32192809488736 -3.32192809488736 10.7448464824224 0.265647201976014 -3.32192809488736 -3.32192809488736 8.21255573726658 10.3101874608319 -3.32192809488736 66173 12919
"T75_P1_B4_NK" -52 21 106 455 -44 -64 3254 915 7893 -3.32192809488736 -0.417678768447361 7.9176409281601 9.66904874913973 -3.32192809488736 -3.32192809488736 9.83055797183758 3.22999878993403 -1.68378179412036 70111 16821
"T75_P2_B4_NK" -53 -6 4 1273 -35 -148 6815 788 3174 -3.32192809488736 -3.32192809488736 9.11938938257858 9.58738567125378 9.20781423842612 -3.32192809488736 10.7797481212192 9.04573227075066 -0.678330083571456 65557 15680
"T75_P3_B4_NK" 26 -59 17 992 48 66 5544 773 13882 -3.32192809488736 -3.32192809488736 3.72409868055913 11.535618031941 -3.32192809488736 -3.32192809488736 7.52286159555754 8.58450880299805 -3.32192809488736 71238 19971
"T75_P4_B4_NK" -40 50 72 861 96 -72 4553 752 5627 -3.32192809488736 7.8883745314946 9.14202905252606 10.7191675011365 9.03508160022295 -3.32192809488736 9.41568633966762 1.87333102338482 -3.32192809488736 55083 12016
"T75_P1_B5_ILC3" 1046 290 574 9 -27 -34 4638 1515 196 9.87481010582837 0.604617834552781 9.63247277641483 -0.919545641116674 -3.32192809488736 -3.32192809488736 11.5314110864178 10.2562514201796 -1.90911008287367 63532 18878
"T75_P2_B5_ILC3" 347 357 835 -55 96 21 4331 2179 167 -3.32192809488736 1.33521341562048 10.0689600759133 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.8518201041318 9.54375257855422 -3.32192809488736 53770 20560
"T75_P3_B5_ILC2" -4 223 474 -62 -4 817 3670 6903 99 -3.32192809488736 -3.32192809488736 8.05060970876248 0.431771844138262 -3.32192809488736 -1.30905042849779 9.80846356322467 10.1206148611113 -1.96075142328255 66584 17475
"T75_P4_B5_ILC1" -12 -16 423 -24 -50 -113 6848 786 54 -3.32192809488736 -3.32192809488736 10.0542487946837 0.316125478496843 -3.32192809488736 -3.32192809488736 10.5881782226841 10.3630249244525 -3.32192809488736 64428 9528
"T75_P1_B6_ILC3" 16 1620 1194 -79 -52 -27 4659 9781 578 -3.32192809488736 9.41886716875688 9.61258309187233 0.627050770376219 -3.32192809488736 -3.32192809488736 8.20040362686475 11.7128886433428 -3.32192809488736 56913 22617
"T75_P2_B6_ILC3" 177 214 618 -32 93 70 3956 1966 1357 7.27392580544575 -3.32192809488736 6.97155272688706 5.89598650574462 -3.32192809488736 -3.32192809488736 10.5630678620189 10.0768683140346 -3.32192809488736 63561 13618
"T75_P3_B6_ILC2" 10 45 602 -16 25 558 4253 3105 22 -3.32192809488736 -3.32192809488736 10.3619080596296 0.372105731392358 -3.32192809488736 -3.32192809488736 6.99908651400137 3.67280050869091 -1.64224163223384 63176 10181
"T75_P1_B7_ILC3" 164 149 659 -22 -174 -38 4710 2083 1902 -0.0180175979101659 -3.32192809488736 10.7532864436583 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.9238283516377 12.308024774202 -3.32192809488736 54639 13727
